Zone,Crop,Temp_14d_Avg,Humid_14d_Avg,Rain_14d_Total,Disease_Occurred
Vindhyan Plateau,Paddy,23.2,74.7,13.8,0
Chhattisgarh Plains,Kodo-Kutki,31.3,71.9,37.8,0
Chambal Valley,Sorghum,33.1,93.1,2.9,1
Northern Hill Region of Chhattisgarh,Paddy,29.1,62.0,9.9,1
Malwa Plateau,Maize,30.1,62.6,31.0,0
Satpura Highlands,Coarse Millets,23.6,80.4,52.0,0
Vindhyan Plateau,Gram,18.2,48.8,0.5,0
Chambal Valley,Mustard,17.2,40.3,1.6,0
Northern Hill Region of Chhattisgarh,Wheat,19.9,82.9,8.0,0
Northern Hill Region of Chhattisgarh,Maize,25.6,92.3,18.4,1
Malwa Plateau,Wheat,16.2,78.4,0.3,0
Chhattisgarh Plains,Kodo-Kutki,31.8,88.2,2.1,1
Satpura Highlands,Maize,31.3,79.6,18.1,0
Bundelkhand,Wheat,18.0,57.5,7.0,0
Chambal Valley,Mustard,21.0,49.0,7.6,0
Central Narmada Valley,Wheat,18.7,11.7,2.2,0
Chhattisgarh Plains,Paddy,31.7,83.8,4.2,1
Kymore Plateau & Satpura Hills,Soybean,33.6,78.1,15.2,0
Bundelkhand,Wheat,23.0,50.8,7.4,0
Satpura Highlands,Maize,32.9,77.8,2.0,0
Chhattisgarh Plains,Paddy,34.1,55.0,11.4,0
Nimar Plains,Wheat,21.3,27.7,11.8,1
Kymore Plateau & Satpura Hills,Soybean,29.5,77.3,7.4,0
Vindhyan Plateau,Wheat,28.0,77.0,3.9,1
Northern Hill Region of Chhattisgarh,Niger,28.1,92.4,2.2,1
Chambal Valley,Sorghum,29.5,65.5,6.2,0
Northern Hill Region of Chhattisgarh,Paddy,24.6,80.8,39.7,1
Jhabua Hills,Maize,28.3,97.0,10.3,0
Satpura Highlands,Paddy,27.7,62.7,10.0,0
Vindhyan Plateau,Paddy,38.9,81.4,15.5,1
Nimar Plains,Wheat,16.0,50.8,9.6,0
Nimar Plains,Sorghum,34.6,94.2,17.7,1
Chhattisgarh Plains,Paddy,36.2,79.9,9.4,0
Northern Hill Region of Chhattisgarh,Niger,23.6,76.9,62.5,0
Vindhyan Plateau,Gram,14.8,36.7,5.1,1
Malwa Plateau,Wheat,17.0,73.8,2.0,0
Jhabua Hills,Soybean,29.1,79.7,39.3,0
Chhattisgarh Plains,Kodo-Kutki,34.5,78.2,21.4,0
Malwa Plateau,Cotton,30.6,65.1,1.5,0
Vindhyan Plateau,Gram,24.4,53.7,2.9,0
Malwa Plateau,Maize,33.3,99.9,34.5,1
Malwa Plateau,Wheat,25.2,55.5,1.4,0
Vindhyan Plateau,Paddy,23.5,62.8,26.8,0
Nimar Plains,Soybean,27.2,83.4,89.2,1
Bundelkhand,Gram,23.3,43.1,1.1,0
Central Narmada Valley,Soybean,33.2,61.5,11.1,0
Satpura Highlands,Paddy,27.8,75.0,24.8,0
Central Narmada Valley,Wheat,14.0,34.1,0.6,0
Kymore Plateau & Satpura Hills,Gram,26.2,54.3,0.7,0
Jhabua Hills,Cotton,25.0,87.2,13.4,1
Nimar Plains,Cotton,29.4,56.3,22.9,1
Central Narmada Valley,Gram,19.9,60.5,0.6,0
Bundelkhand,Lentil,21.8,59.8,1.4,0
Northern Hill Region of Chhattisgarh,Maize,33.1,66.8,8.7,0
Central Narmada Valley,Wheat,21.6,38.3,13.0,1
Malwa Plateau,Wheat,25.9,83.2,3.1,1
Satpura Highlands,Maize,26.0,71.5,27.7,1
Central Narmada Valley,Soybean,26.4,71.1,7.3,0
Bundelkhand,Jowar,33.1,62.2,2.2,0
Satpura Highlands,Paddy,29.9,105.4,27.4,0
Satpura Highlands,Paddy,30.6,87.1,53.3,0
Jhabua Hills,Cotton,33.0,75.7,12.7,0
Jhabua Hills,Soybean,28.2,90.0,10.3,1
Jhabua Hills,Maize,29.0,84.8,50.0,0
Chhattisgarh Plains,Flaxseed,22.7,59.6,1.7,0
Jhabua Hills,Cotton,27.8,87.7,28.5,0
Malwa Plateau,Soybean,31.3,78.0,8.6,0
Nimar Plains,Cotton,23.9,75.7,19.8,1
Kymore Plateau & Satpura Hills,Paddy,28.8,68.3,77.2,0
Chambal Valley,Sorghum,27.5,82.7,10.6,1
Chambal Valley,Mustard,23.3,57.2,1.6,0
Central Narmada Valley,Wheat,17.9,54.3,1.2,0
Central Narmada Valley,Sugarcane,32.6,80.1,13.6,1
Central Narmada Valley,Sugarcane,32.7,78.7,118.9,0
Nimar Plains,Wheat,17.5,56.5,1.5,0
Nimar Plains,Wheat,22.1,30.6,1.1,0
Northern Hill Region of Chhattisgarh,Niger,31.8,78.0,148.6,0
Northern Hill Region of Chhattisgarh,Niger,33.9,89.0,33.6,0
Satpura Highlands,Paddy,34.6,72.5,34.4,0
Malwa Plateau,Maize,26.4,83.5,1.8,1
Satpura Highlands,Paddy,31.1,83.5,56.0,0
Jhabua Hills,Cotton,27.0,75.0,16.6,0
Chhattisgarh Plains,Flaxseed,19.5,64.7,5.1,0
Nimar Plains,Wheat,25.4,51.4,0.7,1
Chhattisgarh Plains,Flaxseed,18.4,62.3,0.7,0
Chhattisgarh Plains,Flaxseed,21.7,63.5,13.2,0
Malwa Plateau,Maize,25.1,92.8,15.2,0
Chambal Valley,Sorghum,29.1,71.7,13.3,1
Jhabua Hills,Black Gram,33.7,79.0,6.4,0
Satpura Highlands,Maize,21.3,79.7,4.6,1
Malwa Plateau,Cotton,23.6,83.1,2.5,1
Kymore Plateau & Satpura Hills,Soybean,28.7,100.5,1.3,1
Satpura Highlands,Paddy,35.3,91.3,25.8,1
Northern Hill Region of Chhattisgarh,Maize,28.0,73.5,0.3,0
Jhabua Hills,Cotton,34.2,62.3,56.2,1
Nimar Plains,Sorghum,31.6,82.3,10.3,0
Satpura Highlands,Paddy,28.9,85.5,12.5,1
Vindhyan Plateau,Gram,25.5,75.0,0.3,1
Northern Hill Region of Chhattisgarh,Wheat,19.7,47.4,7.9,0
Northern Hill Region of Chhattisgarh,Paddy,29.6,98.9,72.3,1
Central Narmada Valley,Sugarcane,31.3,54.5,3.7,1
Jhabua Hills,Cotton,24.6,74.3,9.1,1
Chhattisgarh Plains,Kodo-Kutki,34.3,69.5,15.5,0
Vindhyan Plateau,Paddy,28.6,75.4,2.0,0
Malwa Plateau,Wheat,28.4,45.5,0.9,0
Satpura Highlands,Paddy,24.5,74.0,10.9,0
Nimar Plains,Wheat,21.1,39.9,3.2,1
Northern Hill Region of Chhattisgarh,Maize,33.8,91.1,6.3,1
Chambal Valley,Sorghum,28.2,72.2,22.1,0
Jhabua Hills,Cotton,35.9,64.2,16.7,0
Satpura Highlands,Coarse Millets,32.2,77.2,5.3,0
Malwa Plateau,Wheat,17.3,48.8,0.7,0
Bundelkhand,Gram,27.3,58.1,1.8,1
Vindhyan Plateau,Wheat,21.0,65.8,2.7,0
Northern Hill Region of Chhattisgarh,Paddy,33.4,76.1,2.1,0
Jhabua Hills,Black Gram,28.5,74.6,23.2,0
Northern Hill Region of Chhattisgarh,Maize,26.8,74.2,4.0,0
Northern Hill Region of Chhattisgarh,Niger,19.9,58.8,53.9,0
Central Narmada Valley,Wheat,22.9,72.5,15.4,0
Central Narmada Valley,Soybean,36.4,107.0,113.8,1
Kymore Plateau & Satpura Hills,Wheat,13.3,58.1,5.1,1
Kymore Plateau & Satpura Hills,Paddy,30.7,90.5,3.3,1
Kymore Plateau & Satpura Hills,Wheat,25.3,46.4,1.5,0
Jhabua Hills,Soybean,29.9,90.0,25.5,0
Jhabua Hills,Black Gram,34.1,60.7,6.4,0
Vindhyan Plateau,Gram,25.2,48.1,9.6,0
Chambal Valley,Mustard,19.1,21.1,6.2,0
Jhabua Hills,Maize,30.8,85.8,26.6,1
Vindhyan Plateau,Paddy,24.8,101.1,3.9,1
Satpura Highlands,Maize,32.9,86.6,48.4,0
Nimar Plains,Cotton,28.9,82.8,2.6,1
Nimar Plains,Soybean,26.1,78.5,18.1,0
Bundelkhand,Lentil,29.8,24.2,6.5,0
Chhattisgarh Plains,Flaxseed,17.8,30.9,0.4,0
Central Narmada Valley,Soybean,22.5,102.3,8.4,0
Central Narmada Valley,Sugarcane,31.1,95.9,6.8,0
Chhattisgarh Plains,Kodo-Kutki,29.0,80.7,126.4,0
Chambal Valley,Mustard,25.0,50.5,22.6,0
Chambal Valley,Sorghum,27.8,92.0,26.2,1
Vindhyan Plateau,Wheat,23.0,48.4,17.3,1
Northern Hill Region of Chhattisgarh,Maize,32.4,93.7,5.0,1
Satpura Highlands,Maize,29.8,65.4,16.3,1
Bundelkhand,Lentil,23.5,71.3,12.7,0
Bundelkhand,Gram,17.4,65.2,6.1,0
Malwa Plateau,Maize,36.8,77.4,1.2,0
Northern Hill Region of Chhattisgarh,Wheat,21.4,54.2,1.3,0
Jhabua Hills,Black Gram,36.5,79.8,1.7,0
Jhabua Hills,Maize,36.8,77.9,0.5,1
Nimar Plains,Cotton,30.5,81.6,21.5,0
Nimar Plains,Sorghum,28.2,85.5,1.4,1
Chambal Valley,Sorghum,34.9,67.4,42.6,0
Central Narmada Valley,Soybean,27.5,89.0,1.1,1
Jhabua Hills,Maize,33.6,76.7,7.3,0
Chhattisgarh Plains,Kodo-Kutki,29.4,84.5,56.8,1
Satpura Highlands,Maize,41.9,94.6,50.3,1
Chambal Valley,Mustard,15.0,35.5,2.9,0
Malwa Plateau,Cotton,28.3,99.9,2.1,1
Central Narmada Valley,Sugarcane,24.2,60.9,170.8,0
Satpura Highlands,Paddy,33.5,88.8,1.7,1
Northern Hill Region of Chhattisgarh,Paddy,29.7,101.3,1.7,1
Nimar Plains,Cotton,32.4,76.9,35.5,0
Central Narmada Valley,Gram,24.4,52.9,3.2,0
Nimar Plains,Soybean,29.8,69.0,22.2,0
Northern Hill Region of Chhattisgarh,Paddy,31.5,77.9,1.8,0
Chambal Valley,Sorghum,40.2,99.5,39.6,1
Jhabua Hills,Black Gram,31.6,78.6,56.0,0
Chhattisgarh Plains,Kodo-Kutki,28.5,65.3,1.8,0
Northern Hill Region of Chhattisgarh,Niger,30.5,75.6,37.3,0
Nimar Plains,Cotton,27.4,68.7,2.9,0
Chhattisgarh Plains,Kodo-Kutki,32.3,87.0,20.9,1
Central Narmada Valley,Gram,23.9,23.8,13.9,0
Northern Hill Region of Chhattisgarh,Wheat,17.0,27.8,5.2,0
Central Narmada Valley,Gram,30.2,33.9,0.5,0
Malwa Plateau,Maize,28.8,88.7,18.9,1
Chambal Valley,Wheat,23.7,40.6,3.9,0
Jhabua Hills,Black Gram,27.5,73.4,49.1,1
Central Narmada Valley,Sugarcane,28.9,98.6,12.3,1
Vindhyan Plateau,Paddy,28.9,56.0,33.3,0
Chambal Valley,Mustard,21.9,46.1,1.1,0
Central Narmada Valley,Soybean,29.4,88.1,4.9,1
Nimar Plains,Sorghum,25.4,101.3,1.2,1
Malwa Plateau,Maize,32.5,80.7,11.4,1
Central Narmada Valley,Wheat,16.4,41.0,0.8,0
Chhattisgarh Plains,Paddy,31.0,79.6,27.7,0
Chambal Valley,Wheat,15.8,67.1,8.5,0
Chambal Valley,Sorghum,35.1,80.7,6.6,0
Malwa Plateau,Wheat,7.9,60.4,0.1,0
Malwa Plateau,Cotton,34.0,84.1,18.2,0
Chhattisgarh Plains,Kodo-Kutki,29.6,106.1,38.1,1
Bundelkhand,Jowar,19.0,84.7,8.4,0
Jhabua Hills,Cotton,25.5,71.8,8.1,0
Northern Hill Region of Chhattisgarh,Maize,29.9,100.9,10.3,1
Malwa Plateau,Soybean,30.1,68.9,20.5,0
Northern Hill Region of Chhattisgarh,Wheat,14.2,48.6,6.2,0
Nimar Plains,Cotton,28.8,62.5,126.3,0
Chhattisgarh Plains,Kodo-Kutki,27.1,67.8,2.6,0
Chambal Valley,Sorghum,26.7,76.2,14.0,0
Chambal Valley,Sorghum,30.9,92.6,15.3,1
Kymore Plateau & Satpura Hills,Gram,21.7,42.7,13.1,1
Central Narmada Valley,Sugarcane,27.6,49.7,26.7,1
Chambal Valley,Mustard,20.7,60.5,9.2,0
Kymore Plateau & Satpura Hills,Gram,16.2,50.2,0.8,0
Vindhyan Plateau,Wheat,18.1,47.6,1.3,0
Northern Hill Region of Chhattisgarh,Maize,26.9,70.7,29.0,1
Bundelkhand,Gram,18.2,62.4,1.1,0
Jhabua Hills,Soybean,32.1,101.9,13.5,1
Chhattisgarh Plains,Paddy,30.5,68.8,43.5,0
Northern Hill Region of Chhattisgarh,Wheat,21.6,55.3,5.3,0
Central Narmada Valley,Wheat,18.7,31.9,2.6,0
Bundelkhand,Wheat,17.3,64.8,2.9,0
Chhattisgarh Plains,Paddy,34.5,50.6,3.3,1
Satpura Highlands,Paddy,27.4,77.9,18.6,0
Northern Hill Region of Chhattisgarh,Maize,27.1,87.1,73.2,1
Malwa Plateau,Soybean,26.1,76.3,5.1,0
Chambal Valley,Mustard,31.8,50.4,0.7,0
Northern Hill Region of Chhattisgarh,Wheat,19.7,48.3,4.4,0
Chambal Valley,Sorghum,28.8,94.9,57.6,0
Chambal Valley,Sorghum,26.8,87.5,21.9,1
Bundelkhand,Gram,19.2,39.8,1.0,0
Bundelkhand,Lentil,17.3,53.3,4.3,0
Kymore Plateau & Satpura Hills,Gram,24.3,70.0,1.0,0
Kymore Plateau & Satpura Hills,Wheat,25.6,55.3,2.3,0
Jhabua Hills,Cotton,29.3,72.2,8.8,0
Chhattisgarh Plains,Flaxseed,24.6,67.1,4.8,0
Kymore Plateau & Satpura Hills,Soybean,33.9,76.4,4.4,1
Bundelkhand,Jowar,31.0,68.3,11.8,1
Malwa Plateau,Soybean,25.1,93.0,5.9,1
Vindhyan Plateau,Wheat,25.5,68.0,0.0,0
Jhabua Hills,Soybean,30.9,74.8,4.7,0
Chhattisgarh Plains,Flaxseed,18.3,38.0,1.5,0
Malwa Plateau,Cotton,30.0,74.7,17.6,0
Nimar Plains,Wheat,20.3,64.9,2.1,0
Chhattisgarh Plains,Paddy,29.0,74.0,1.2,0
Kymore Plateau & Satpura Hills,Paddy,32.7,58.8,13.2,0
Central Narmada Valley,Sugarcane,28.7,78.7,0.9,0
Jhabua Hills,Black Gram,32.8,92.0,59.5,1
Northern Hill Region of Chhattisgarh,Wheat,10.3,46.3,3.5,0
Northern Hill Region of Chhattisgarh,Wheat,24.3,60.5,5.2,0
Northern Hill Region of Chhattisgarh,Paddy,27.6,100.3,14.8,1
Vindhyan Plateau,Wheat,10.7,52.2,9.1,0
Bundelkhand,Lentil,10.1,39.3,1.2,1
Vindhyan Plateau,Gram,14.5,48.4,0.1,0
Vindhyan Plateau,Paddy,33.4,82.7,5.3,0
Kymore Plateau & Satpura Hills,Soybean,27.2,79.5,2.9,1
Central Narmada Valley,Wheat,23.6,68.2,1.3,1
Jhabua Hills,Black Gram,37.9,65.7,15.0,0
Malwa Plateau,Cotton,35.3,77.8,0.4,0
Chambal Valley,Mustard,16.6,40.5,2.7,0
Satpura Highlands,Maize,33.5,51.4,77.0,0
Vindhyan Plateau,Paddy,34.6,70.1,0.6,0
Northern Hill Region of Chhattisgarh,Paddy,29.9,71.6,79.1,0
Bundelkhand,Wheat,20.0,51.4,2.4,0
Chhattisgarh Plains,Kodo-Kutki,37.3,71.2,42.6,0
Vindhyan Plateau,Paddy,27.3,68.5,47.1,0
Chhattisgarh Plains,Paddy,30.3,74.9,51.7,0
Northern Hill Region of Chhattisgarh,Niger,28.4,69.5,71.5,0
Northern Hill Region of Chhattisgarh,Niger,29.8,69.4,1.6,0
Northern Hill Region of Chhattisgarh,Wheat,16.9,52.6,5.2,1
Kymore Plateau & Satpura Hills,Wheat,24.5,53.1,0.6,0
Northern Hill Region of Chhattisgarh,Wheat,15.6,59.6,3.1,0
Chhattisgarh Plains,Flaxseed,20.5,74.0,13.2,0
Kymore Plateau & Satpura Hills,Paddy,23.2,92.9,11.6,1
Malwa Plateau,Soybean,23.2,85.5,4.5,1
Chambal Valley,Wheat,18.9,25.5,16.9,0
Nimar Plains,Soybean,31.2,62.9,74.8,0
Chambal Valley,Wheat,21.1,72.3,3.5,0
Satpura Highlands,Coarse Millets,34.4,79.4,3.2,1
Central Narmada Valley,Soybean,31.1,74.5,3.0,0
Northern Hill Region of Chhattisgarh,Niger,35.6,85.7,23.9,1
Central Narmada Valley,Soybean,24.0,76.9,4.4,0
Nimar Plains,Sorghum,28.7,88.9,18.6,1
Chambal Valley,Wheat,15.5,61.3,0.8,0
Bundelkhand,Gram,17.2,67.1,4.2,0
Satpura Highlands,Paddy,30.5,77.8,5.2,0
Nimar Plains,Cotton,27.4,52.2,25.2,1
Chhattisgarh Plains,Flaxseed,20.3,66.9,2.1,0
Kymore Plateau & Satpura Hills,Soybean,29.2,71.5,128.2,0
Vindhyan Plateau,Paddy,33.6,102.9,30.7,1
Bundelkhand,Lentil,15.0,43.5,5.2,0
Chhattisgarh Plains,Flaxseed,22.1,64.9,10.2,1
Chhattisgarh Plains,Kodo-Kutki,35.8,89.1,30.1,1
Northern Hill Region of Chhattisgarh,Paddy,27.0,76.7,8.9,0
Northern Hill Region of Chhattisgarh,Wheat,13.3,46.8,4.4,0
Chambal Valley,Wheat,19.8,67.1,0.9,0
Central Narmada Valley,Sugarcane,25.4,75.8,5.4,0
Satpura Highlands,Paddy,27.0,93.3,75.7,1
Nimar Plains,Soybean,20.3,69.6,6.6,0
Jhabua Hills,Black Gram,36.4,82.0,11.1,0
Jhabua Hills,Soybean,29.6,85.2,57.9,1
Chhattisgarh Plains,Kodo-Kutki,27.4,82.9,75.0,0
Bundelkhand,Lentil,16.2,22.3,4.7,1
Bundelkhand,Gram,21.0,71.6,2.6,0
Bundelkhand,Jowar,25.3,79.2,14.2,0
Chhattisgarh Plains,Flaxseed,17.5,39.8,2.3,0
Jhabua Hills,Cotton,29.4,72.3,13.4,0
Malwa Plateau,Wheat,15.1,23.0,8.0,0
Vindhyan Plateau,Wheat,10.3,50.8,6.5,0
Satpura Highlands,Paddy,30.3,83.3,51.9,0
Northern Hill Region of Chhattisgarh,Wheat,24.0,24.0,1.6,0
Nimar Plains,Sorghum,33.9,83.4,42.3,0
Bundelkhand,Wheat,20.3,61.0,6.9,0
Vindhyan Plateau,Wheat,23.9,24.6,14.8,0
Chambal Valley,Wheat,23.0,72.1,2.4,1
Jhabua Hills,Cotton,24.1,75.1,8.0,0
Satpura Highlands,Paddy,32.2,62.1,19.1,1
Kymore Plateau & Satpura Hills,Paddy,32.6,91.8,0.8,1
Central Narmada Valley,Gram,23.1,35.6,1.6,1
Malwa Plateau,Soybean,35.0,82.5,12.9,1
Malwa Plateau,Wheat,18.8,58.5,0.6,0
Chambal Valley,Sorghum,23.3,75.8,0.7,0
Vindhyan Plateau,Wheat,17.9,36.1,0.1,0
Northern Hill Region of Chhattisgarh,Wheat,18.0,50.9,1.2,0
Malwa Plateau,Cotton,33.4,79.9,69.8,0
Chhattisgarh Plains,Flaxseed,28.9,25.6,7.4,0
Chambal Valley,Sorghum,33.3,70.4,8.9,1
Central Narmada Valley,Gram,16.7,63.1,3.5,0
Chambal Valley,Sorghum,29.4,75.7,129.4,0
Bundelkhand,Lentil,19.3,33.7,1.0,0
Malwa Plateau,Cotton,26.9,78.5,60.1,0
Malwa Plateau,Maize,29.7,69.0,22.3,0
Chhattisgarh Plains,Kodo-Kutki,38.6,75.1,58.5,1
Northern Hill Region of Chhattisgarh,Paddy,34.8,73.3,30.4,0
Chambal Valley,Wheat,22.7,61.1,2.7,0
Malwa Plateau,Wheat,20.9,62.1,2.6,0
Central Narmada Valley,Wheat,21.5,59.1,14.1,0
Central Narmada Valley,Sugarcane,26.9,81.9,25.8,0
Satpura Highlands,Paddy,36.8,74.6,42.1,0
Nimar Plains,Soybean,29.6,82.0,7.4,0
Central Narmada Valley,Gram,18.0,59.2,17.6,0
Satpura Highlands,Maize,32.3,71.9,6.3,1
Kymore Plateau & Satpura Hills,Paddy,25.9,88.3,55.8,1
Bundelkhand,Lentil,21.2,65.6,2.3,0
Bundelkhand,Jowar,24.4,94.1,35.0,1
Jhabua Hills,Soybean,31.9,81.6,6.7,0
Nimar Plains,Cotton,34.1,92.8,5.1,1
Kymore Plateau & Satpura Hills,Gram,27.5,37.5,5.6,0
Vindhyan Plateau,Gram,14.5,56.5,7.2,0
Satpura Highlands,Paddy,31.2,72.2,8.7,0
Satpura Highlands,Coarse Millets,32.0,82.3,0.5,0
Bundelkhand,Jowar,28.6,98.0,4.9,1
Central Narmada Valley,Wheat,20.7,60.1,3.3,0
Chhattisgarh Plains,Kodo-Kutki,31.2,85.5,0.1,1
Northern Hill Region of Chhattisgarh,Maize,30.2,71.1,3.7,0
Central Narmada Valley,Soybean,34.7,86.8,23.4,1
Satpura Highlands,Paddy,29.4,72.6,11.4,0
Satpura Highlands,Maize,22.9,71.4,45.7,0
Vindhyan Plateau,Gram,21.6,37.7,0.3,0
Chhattisgarh Plains,Paddy,21.8,74.2,0.9,0
Central Narmada Valley,Soybean,27.3,68.6,15.9,0
Chhattisgarh Plains,Kodo-Kutki,30.7,94.9,48.6,1
Northern Hill Region of Chhattisgarh,Wheat,23.4,28.8,3.5,1
Nimar Plains,Wheat,21.0,66.9,6.2,0
Chhattisgarh Plains,Kodo-Kutki,26.4,93.5,8.9,1
Malwa Plateau,Soybean,30.4,72.6,41.6,0
Nimar Plains,Soybean,31.8,80.7,10.6,0
Kymore Plateau & Satpura Hills,Gram,15.7,54.2,1.5,0
Central Narmada Valley,Wheat,19.2,53.1,6.6,0
Chhattisgarh Plains,Flaxseed,21.2,79.7,5.2,0
Central Narmada Valley,Wheat,22.5,37.5,6.9,0
Central Narmada Valley,Soybean,32.8,81.1,3.0,0
Northern Hill Region of Chhattisgarh,Maize,27.7,47.6,29.0,0
Northern Hill Region of Chhattisgarh,Wheat,17.7,60.1,1.1,0
Kymore Plateau & Satpura Hills,Paddy,31.7,86.2,47.6,1
Central Narmada Valley,Sugarcane,32.7,81.9,25.0,0
Chhattisgarh Plains,Paddy,28.0,91.5,78.4,1
Central Narmada Valley,Soybean,29.2,98.7,22.1,1
Jhabua Hills,Soybean,33.3,88.1,18.0,1
Malwa Plateau,Wheat,21.8,46.7,9.2,0
Bundelkhand,Lentil,19.8,43.5,0.3,1
Satpura Highlands,Coarse Millets,24.0,98.6,17.9,1
Chhattisgarh Plains,Flaxseed,20.6,30.3,0.2,0
Bundelkhand,Wheat,8.8,76.8,1.4,0
Satpura Highlands,Maize,33.7,71.5,15.4,1
Vindhyan Plateau,Paddy,22.5,75.9,6.7,1
Central Narmada Valley,Wheat,26.2,34.5,16.9,0
Satpura Highlands,Paddy,31.4,76.6,4.9,0
Nimar Plains,Wheat,26.0,57.0,2.6,0
Kymore Plateau & Satpura Hills,Soybean,25.9,70.1,31.0,0
Jhabua Hills,Black Gram,25.2,80.6,1.1,0
Northern Hill Region of Chhattisgarh,Maize,37.9,74.8,19.3,0
Malwa Plateau,Maize,25.7,87.1,7.8,1
Vindhyan Plateau,Wheat,16.9,69.0,0.9,0
Satpura Highlands,Maize,29.1,100.8,30.8,1
Chambal Valley,Sorghum,30.1,93.5,68.2,1
Kymore Plateau & Satpura Hills,Wheat,21.1,72.4,1.5,0
Nimar Plains,Wheat,20.6,40.8,2.3,0
Jhabua Hills,Maize,31.2,92.8,8.0,1
Vindhyan Plateau,Gram,20.5,35.9,1.8,0
Nimar Plains,Wheat,16.9,48.6,24.5,0
Satpura Highlands,Coarse Millets,34.3,81.4,37.0,0
Bundelkhand,Jowar,34.8,88.5,21.2,1
Malwa Plateau,Maize,30.8,44.3,7.9,0
Satpura Highlands,Maize,31.8,77.1,57.9,0
Northern Hill Region of Chhattisgarh,Niger,32.8,73.1,2.8,0
Bundelkhand,Gram,20.2,35.6,4.3,0
Kymore Plateau & Satpura Hills,Soybean,32.3,59.3,102.1,0
Jhabua Hills,Black Gram,30.5,97.0,11.1,0
Northern Hill Region of Chhattisgarh,Maize,38.4,82.2,6.5,0
Jhabua Hills,Soybean,26.1,75.2,4.3,0
Chhattisgarh Plains,Flaxseed,20.4,56.3,6.4,0
Jhabua Hills,Cotton,30.8,89.6,6.9,1
Nimar Plains,Sorghum,33.4,98.8,0.5,1
Bundelkhand,Jowar,33.4,46.2,31.4,0
Jhabua Hills,Black Gram,32.3,81.3,19.9,0
Kymore Plateau & Satpura Hills,Wheat,17.6,67.6,6.0,0
Kymore Plateau & Satpura Hills,Soybean,25.6,68.3,51.7,1
Jhabua Hills,Black Gram,26.9,83.3,30.2,0
Nimar Plains,Cotton,24.2,71.3,42.9,0
Northern Hill Region of Chhattisgarh,Maize,31.9,80.4,11.0,1
Chambal Valley,Mustard,19.6,21.1,2.4,0
Northern Hill Region of Chhattisgarh,Maize,36.1,88.8,2.3,1
Malwa Plateau,Maize,29.0,90.8,28.4,1
Kymore Plateau & Satpura Hills,Gram,12.6,35.9,1.5,0
Chhattisgarh Plains,Paddy,30.4,114.5,16.9,1
Malwa Plateau,Cotton,29.2,59.7,22.8,0
Satpura Highlands,Paddy,24.1,82.3,61.9,0
Jhabua Hills,Soybean,28.2,77.1,5.3,0
Chambal Valley,Wheat,21.1,30.5,11.8,0
Kymore Plateau & Satpura Hills,Wheat,11.3,74.1,6.5,0
Nimar Plains,Sorghum,38.2,82.3,1.7,0
Chambal Valley,Wheat,20.4,65.0,10.5,0
Northern Hill Region of Chhattisgarh,Maize,32.3,66.7,14.7,0
Chhattisgarh Plains,Paddy,27.2,91.3,10.2,1
Bundelkhand,Jowar,28.1,88.4,1.3,0
Kymore Plateau & Satpura Hills,Paddy,32.4,108.7,0.4,0
Central Narmada Valley,Sugarcane,29.5,72.9,10.3,0
Northern Hill Region of Chhattisgarh,Paddy,27.2,109.2,8.1,1
Chambal Valley,Wheat,20.4,72.2,2.8,0
Malwa Plateau,Cotton,32.6,69.5,14.8,1
Nimar Plains,Cotton,29.3,69.1,1.7,0
Central Narmada Valley,Sugarcane,23.9,82.1,9.6,0
Vindhyan Plateau,Gram,25.0,62.3,4.1,0
Malwa Plateau,Maize,39.5,76.7,19.3,0
Jhabua Hills,Soybean,25.3,73.0,15.2,0
Vindhyan Plateau,Paddy,28.4,70.8,0.7,0
Northern Hill Region of Chhattisgarh,Niger,30.4,76.2,75.6,0
Bundelkhand,Lentil,17.8,83.9,2.1,0
Nimar Plains,Soybean,29.0,76.1,4.8,0
Jhabua Hills,Black Gram,37.7,58.8,4.9,0
Chambal Valley,Wheat,19.2,61.3,1.7,0
Vindhyan Plateau,Gram,20.4,59.6,5.5,0
Central Narmada Valley,Gram,23.1,49.3,2.2,0
Northern Hill Region of Chhattisgarh,Niger,35.7,99.7,49.1,0
Nimar Plains,Cotton,37.9,108.7,46.5,1
Nimar Plains,Wheat,18.0,53.2,3.0,0
Malwa Plateau,Soybean,31.1,85.3,25.1,1
Kymore Plateau & Satpura Hills,Paddy,29.3,77.6,3.5,0
Vindhyan Plateau,Wheat,17.2,58.2,6.5,0
Jhabua Hills,Black Gram,26.7,75.8,17.6,0
Malwa Plateau,Maize,32.6,79.8,8.5,1
Nimar Plains,Soybean,34.8,81.9,34.6,0
Northern Hill Region of Chhattisgarh,Paddy,28.8,80.2,16.1,0
Vindhyan Plateau,Gram,13.5,72.8,0.0,0
Central Narmada Valley,Sugarcane,25.1,92.1,67.9,1
Bundelkhand,Gram,25.6,37.9,5.1,0
Jhabua Hills,Black Gram,26.1,60.4,5.2,0
Nimar Plains,Sorghum,25.3,69.3,15.1,0
Chambal Valley,Mustard,22.4,68.1,1.6,0
Jhabua Hills,Maize,32.5,87.8,27.7,0
Central Narmada Valley,Soybean,27.4,63.8,19.4,0
Vindhyan Plateau,Wheat,25.9,33.3,1.5,1
Vindhyan Plateau,Paddy,32.7,109.1,8.7,1
